Year,Population,Species
2014,32769,Caribou
2013,34341,Caribou
2012,34858,Caribou
2011,36675,Caribou
2010,37501,Caribou
2009,38879,Caribou
2008,40321,Caribou
2007,42503,Caribou
2006,44940,Caribou
2005,50346,Caribou
2004,55940,Caribou
2003,62854,Caribou
2002,68171,Caribou
2001,73489,Caribou
2000,78808,Caribou
1999,84127,Caribou
1998,89423,Caribou
1997,91518,Caribou
1996,93792,Caribou
1995,92145,Caribou
1994,92039,Caribou
1993,88567,Caribou
1992,84487,Caribou
1991,82040,Caribou
1990,79510,Caribou
1989,76539,Caribou
1988,72902,Caribou
1987,68351,Caribou
1986,63862,Caribou
1985,59513,Caribou
1984,55166,Caribou
1983,50834,Caribou
1982,45190,Caribou
1981,40849,Caribou
1980,32127,Caribou
2014,115440,Moose
2013,115944,Moose
2012,116501,Moose
2011,117658,Moose
2010,119705,Moose
2009,122794,Moose
2008,126046,Moose
2007,128641,Moose
2006,130917,Moose
2005,132552,Moose
2004,132812,Moose
2003,135717,Moose
2002,138904,Moose
2001,142098,Moose
2000,145485,Moose
1999,148116,Moose
1998,149415,Moose
1997,149355,Moose
1996,146040,Moose
1995,142437,Moose
1994,140080,Moose
1993,137881,Moose
1992,135693,Moose
1991,133756,Moose
1990,130806,Moose
1989,127048,Moose
1988,122497,Moose
1987,118123,Moose
1986,113722,Moose
1985,108310,Moose
1984,103961,Moose
1983,97347,Moose
1982,92834,Moose
1981,89502,Moose
1980,86820,Moose
